#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	cdsStartStat	cdsEndStat	exonFrames	type	geneName	geneName2	geneType	dbName	annotationType	position	longName	syns	subCellLoc	comments	uniProtId	pmids
NC_045512v2	12091	12685	nsp8	1000	+	12091	12685	12,12,120	1	594	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 3943-4140 on protein P0DTD1	Non-structural protein 8			Plays a role in viral RNA synthesis (PubMed:32358203, PubMed:32277040). Forms a hexadecamer with nsp8 (8 subunits of each) that may participate in viral replication by acting as a primase. Alternatively, may synthesize substantially longer products than oligonucleotide primers (By similarity).	P0DTD1	
NC_045512v2	12091	12685	nsp8	1000	+	12091	12685	12,12,120	1	594	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 3943-4140 on protein P0DTC1	Non-structural protein 8			Forms a hexadecamer with nsp7 (8 subunits of each) that may participate in viral replication by acting as a primase. Alternatively, may synthesize substantially longer products than oligonucleotide primers.	P0DTC1	
NC_045512v2	12685	13024	nsp9	1000	+	12685	13024	12,12,120	1	339	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 4141-4253 on protein P0DTC1	Non-structural protein 9			May participate in viral replication by acting as a ssRNA-binding protein.	P0DTC1	
NC_045512v2	13024	13441	nsp10	1000	+	13024	13441	12,12,120	1	417	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 4254-4392 on protein P0DTC1	Non-structural protein 10			Plays a pivotal role in viral transcription by stimulating both nsp14 3'-5' exoribonuclease and nsp16 2'-O-methyltransferase activities. Therefore plays an essential role in viral mRNAs cap methylation.	P0DTC1	
NC_045512v2	13441	16236	Pol	1000	+	13441	16236	12,12,120	2	24,2769	0,26		cmpl	cmpl	0,0					Manually reviewed (Swiss-Prot)	chain	amino acids 4393-5324 on protein P0DTD1	RNA-directed RNA polymerase			Responsible for replication and transcription of the viral RNA genome.	P0DTD1	
NC_045512v2	13441	13480	nsp11	1000	+	13441	13480	12,12,120	1	39	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 4393-4405 on protein P0DTC1	Non-structural protein 11				P0DTC1	
NC_045512v2	16236	18039	Hel	1000	+	16236	18039	12,12,120	1	1803	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 5325-5925 on protein P0DTD1	Helicase			Multi-functional protein with a zinc-binding domain in N-terminus displaying RNA and DNA duplex-unwinding activities with 5' to 3' polarity. Activity of helicase is dependent on magnesium.	P0DTD1	
NC_045512v2	18039	19620	ExoN	1000	+	18039	19620	12,12,120	1	1581	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 5926-6452 on protein P0DTD1	Proofreading exoribonuclease			Enzyme possessing two different activities: an exoribonuclease activity acting on both ssRNA and dsRNA in a 3' to 5' direction and a N7-guanine methyltransferase activity. Acts as a proofreading exoribonuclease for RNA replication, thereby lowering The sensitivity of the virus to RNA mutagens.	P0DTD1	
NC_045512v2	19620	20658	nsp15	1000	+	19620	20658	12,12,120	1	1038	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 6453-6798 on protein P0DTD1	Uridylate-specific endoribonuclease			Mn(2+)-dependent, uridylate-specific enzyme, which leaves 2'-3'-cyclic phosphates 5' to the cleaved bond.	P0DTD1	
NC_045512v2	20658	21552	nsp16	1000	+	20658	21552	12,12,120	1	894	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 6799-7096 on protein P0DTD1	2'-O-methyltransferase			Methyltransferase that mediates mRNA cap 2'-O-ribose methylation to the 5'-cap structure of viral mRNAs. N7-methyl guanosine cap is a prerequisite for binding of nsp16. Therefore plays an essential role in viral mRNAs cap methylation which is essential to evade immune system.	P0DTD1	
NC_045512v2	21598	25381	S glycoprotein	1000	+	21598	25381	12,12,120	1	3783	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 13-1273 on protein P0DTC2	Spike glycoprotein	S glycoprotein; ORF2; E2; Peplomer protein		May down-regulate host tetherin (BST2) by lysosomal degradation, thereby counteracting its antiviral activity.	P0DTC2	
NC_045512v2	21598	23617	Spike protein S1	1000	+	21598	23617	12,12,120	1	2019	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 13-685 on protein P0DTC2	Spike protein S1			attaches the virion to the cell membrane by interacting with host receptor, initiating the infection. Binding to human ACE2 receptor and internalization of the virus into the endosomes of the host cell induces conformational changes in the Spike glycoprotein (PubMed:32142651, PubMed:32075877, PubMed:32155444). Uses also human TMPRSS2 for priming in human lung cells which is an essential step for viral entry (PubMed:32142651). Can be alternatively processed by host furin (PubMed:32362314). Proteolysis by cathepsin CTSL may unmask the fusion peptide of S2 and activate membranes fusion within endosomes.	P0DTC2	
NC_045512v2	23617	25381	Spike protein S2	1000	+	23617	25381	12,12,120	1	1764	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 686-1273 on protein P0DTC2	Spike protein S2			mediates fusion of the virion and cellular membranes by acting as a class I viral fusion protein. Under the current model, the protein has at least three conformational states: pre-fusion native state, pre-hairpin intermediate state, and post-fusion hairpin state. During viral and target cell membrane fusion, the coiled coil regions (heptad repeats) assume a trimer-of-hairpins structure, positioning the fusion peptide in close proximity to the C-terminal region of the ectodomain. The formation of this structure appears to drive apposition and subsequent fusion of viral and target cell membranes.	P0DTC2	
NC_045512v2	24007	25381	Spike protein S2'	1000	+	24007	25381	12,12,120	1	1374	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 816-1273 on protein P0DTC2	Spike protein S2'			Acts as a viral fusion peptide which is unmasked following S2 cleavage occurring upon virus endocytosis.	P0DTC2	
NC_045512v2	25392	26217	ORF3a	1000	+	25392	26217	12,12,120	1	825	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-275 on protein P0DTC3	ORF3a protein	ORF3a; Protein 3a; Protein X1; Protein U274; Accessory protein 3a			P0DTC3	
NC_045512v2	26244	26469	E protein	1000	+	26244	26469	12,12,120	1	225	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-75 on protein P0DTC4	Envelope small membrane protein	E protein; sM protein; ORF4			P0DTC4	
NC_045512v2	26522	27188	M protein	1000	+	26522	27188	12,12,120	1	666	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-222 on protein P0DTC5	Membrane protein	M protein; ORFM; E1 glycoprotein; Matrix glycoprotein; Membrane glycoprotein			P0DTC5	
NC_045512v2	27201	27384	ns6	1000	+	27201	27384	12,12,120	1	183	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-61 on protein P0DTC6	ORF6 protein	ns6; ORF6; Protein X3; Accessory protein 6; Non-structural protein 6			P0DTC6	
NC_045512v2	27438	27756	ORF7a	1000	+	27438	27756	12,12,120	1	318	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 16-121 on protein P0DTC7	ORF7a protein	ORF7a; Protein X4; Protein U122; Accessory protein 7a			P0DTC7	
NC_045512v2	27755	27884	ns7b	1000	+	27755	27884	12,12,120	1	129	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-43 on protein P0DTD8	Protein non-structural 7b	ns7b; ORF7b; Accessory protein 7b			P0DTD8	
NC_045512v2	27938	28256	ns8	1000	+	27938	28256	12,12,120	1	318	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 16-121 on protein P0DTC8	ORF8 protein	ns8; ORF8; Non-structural protein 8			P0DTC8	
NC_045512v2	28273	29530	NC	1000	+	28273	29530	12,12,120	1	1257	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-419 on protein P0DTC9	Nucleoprotein	NC; Protein N; Nucleocapsid protein			P0DTC9	
NC_045512v2	28283	28574	ORF9b	1000	+	28283	28574	12,12,120	1	291	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-97 on protein P0DTD2	ORF9b protein	ORF9b; ORF-9b; Protein 9b; Accessory protein 9b			P0DTD2	
NC_045512v2	28733	28952	ORF14	1000	+	28733	28952	12,12,120	1	219	0		cmpl	cmpl	0					Manually reviewed (Swiss-Prot)	chain	amino acids 1-73 on protein P0DTD3	Uncharacterized protein 14	ORF14			P0DTD3	
